Date,Observer,Temperature (F),Wind (mph),StudyLocation,Treatment ,StartTime,PatchID,PointID,Species2min,SpeciesCode2min,Distance2min,Species5min,SpeciesCode5min,Distance5min
7/12/2024,JS/HQ,71,10,Topeka,Urban,7:12,16,16.1,American Robin,AMRO,1,NA,NA,NA
7/12/2024,JS/HQ,71,10,Topeka,Urban,7:12,16,16.1,House Finch,HOFI,2,Black-capped Chickadee,BCCH,32.5
7/12/2024,JS/HQ,71,10,Topeka,Urban,7:12,16,16.1,Mourning Dove,MODO,2,NA,NA,NA
4/2/2024,ED,63,14,McPherson,Urban,15:35,MC2,MC2.2,House Finch,HOFI,4.2,Common Grackle,COGR,10.2
7/12/2024,JS/HQ,72,10,Topeka,Urban,7:28,16,16.2,American Crow,AMCR,5,Barn Swallow,BARS,47.5
7/10/2024,"ED, GA, CL",63,4,McPherson,Rural,6:22,BB8,BB8.1,Chimney Swift,CHSW,5,Ruddy Duck,RUDU,95
7/16/2024,"ED,GA",76,14,Inman,WMA,7:28,IN1,IN1.2,swallow,NA,5,Red-winged Blackbird,RWBL,25
8/15/2024,CL,71,5,McPherson,Urban,7:31,MC1,MC1.1,American Robin,AMRO,5,Blue Jay,BLJA,22
8/13/2024,"BO, IW",68,1,Garden City,WMA,7:47,BR 7,BR 7.2,Northern Bobwhite,NOBO,5,NA,NA,NA
4/3/2024,BO,36,2,Garden City,Urban,9:01,GC 15,GC 15.1,House Sparrow,HOSP,6.2,House Sparrow,HOSP,12.4
4/5/2024,BO,48,4,Garden City,Urban,8:53,GC 3,GC 3.2,European Starling,EUST,6.2,Eurasian Collared Dove,EUCD,47.3
4/1/2024,BO,46,3,Garden City,Urban,9:29,GC18,GC18.1,European Starling,EUST,6.6,Eurasian Collared Dove,EUCD,14.6
8/26/2024,IW,72,0,Garden City,Urban,7:41,GC 19,GC 19.1,Blue Jay,BLJA,7,House Sparrow,HOSP,10
8/15/2024,BO,70,1,Garden City,Urban,8:28,GC 3,GC 3.1,Eurasian Collared Dove,EUCD,8,NA,NA,NA
8/26/2024,IW,73,1,Garden City,Urban,8:05,GC 19,GC 19.3,Barn Swallow,BARS,8,Eurasian Collared Dove,EUCD,51
4/4/2024,BO,38,2,Garden City,Urban,8:11,GC 11,GC 11.1,Eurasian Collared Dove,EUCD,8.1,American Robin,AMRO,30.6
4/3/2024,BO,34,2,Garden City,Urban,8:37,GC 14,GC 14.2,European Starling,EUST,8.7,Grackle,NA,129.8
4/30/2024,JS/NB,62,10,Topeka,Urban,8:23,14,14.2,Black-capped Chickadee,BCCH,10,House Finch,HOFI,19.2
4/30/2024,JS/NB,62,10,Topeka,Urban,8:23,14,14.2,Chipping Sparrow,CHSP,10,American Goldfinch,AGOL,42.8
4/30/2024,JS/NB,66,11,Topeka,Urban,9:43,18,18.1,House Finch,HOFI,10,Common Grackle,COGR,40.7
7/15/2024,"GA, CL",78,12,McPherson,Rural,6:24,BB7,BB7.2,Pied-billed Grebe,PBGR,10,Red-winged Blackbird,RWBL,30
7/15/2024,"GA, CL",78,12,McPherson,Rural,6:24,BB7,BB7.2,House Sparrow,HOSP,10,Red-winged Blackbird,RWBL,35
7/15/2024,"GA, CL",78,12,McPherson,Rural,6:24,BB7,BB7.2,House Sparrow,HOSP,10,Red-winged Blackbird,RWBL,30
7/25/2024,"CL,GA",73,6,McPherson,Rural,7:50,BB11,BB11.1,Common Yellowthroat,COYE,10,Common Yellowthroat,COYE,82
8/7/2024,CL,64,6,McPherson,Urban,7:01,MC13,MC13.2,American Goldfinch,AGOL,10,European Starling,EUST,86
8/1/2024,IW,72,3,Garden City,Rural,8:37,CN 2,CN 2.1,Dicksissel,DICK,10,NA,NA,NA
8/14/2024,"RR, IW",71,1,Garden City,WMA,6:59,BR 6,BR 6.2,Mourning Dove,MODO,10,Brown-headed Cowbird,BHCO,216
8/15/2024,IW,70,1,Garden City,Urban,8:51,GC 13,GC 13.1,Grackle,NA,10,NA,NA,NA
4/1/2024,BO,46,3,Garden City,Urban,9:29,GC18,GC18.1,Eurasian Collared Dove,EUCD,10.1,NA,NA,NA
4/16/2024,ED,65,23,McPherson,Urban,9:57,MC20,MC20.2,Black-capped Chickadee,BCCH,10.2,Turkey Vulture,TUVU,150.5
8/7/2024,"BO, RR",68,1,Garden City,Rural,7:26,CN 2,CN 2.3,Red-winged Blackbird,RWBL,10.3,Eastern Kingbird,EAKI,21
4/30/2024,JS/NB,62,10,Topeka,Urban,8:23,14,14.2,American Robin,AMRO,10.4,House Sparrow,HOSP,31.3
