Study.Area,Treatment,Study.AreaTreatment,Patch,Point,PatchPoint,distance,species,date,
Topeka,WMA,TopekaWMA,PL7,2,PL72,34,modo,04/11/2023,
Topeka,WMA,TopekaWMA,PL7,2,PL72,-1,ecdo,04/11/2023,"Using -1 as fly code, to remove for analysis"
Topeka,WMA,TopekaWMA,PL7,1,PL71,65,modo,04/11/2023,
Topeka,WMA,TopekaWMA,PL5,2,PL52,NA,NA,04/11/2023,or you could leave empty
Topeka,WMA,TopekaWMA,PL5,1,PL51,80,modo,04/11/2023,
Topeka,WMA,TopekaWMA,PL4,1,PL41,NA,NA,04/11/2023,
Topeka,WMA,TopekaWMA,PL4,2,PL42,NA,NA,04/11/2023,
Topeka,WMA,TopekaWMA,PL3,1,PL31,91,modo,04/12/2023,
Topeka,WMA,TopekaWMA,PL3,2,PL32,-1,modo,04/12/2023,
Topeka,WMA,TopekaWMA,PL2,1,PL21,NA,NA,04/12/2023,
Topeka,WMA,TopekaWMA,PL2,2,PL22,NA,NA,04/12/2023,
Topeka,WMA,TopekaWMA,PL9,1,PL91,NA,NA,04/17/2023,
Topeka,WMA,TopekaWMA,PL11,1,PL111,140,modo,04/17/2023,
Topeka,WMA,TopekaWMA,PL11,1,PL111,100,modo,04/17/2023,
Topeka,WMA,TopekaWMA,PL11,2,PL112,106,modo,04/17/2023,
Topeka,WMA,TopekaWMA,PL11,2,PL112,140,modo,04/17/2023,
Topeka,Urban,TopekaUrban,T3,1,T31,106,modo,04/24/2023,
Topeka,Urban,TopekaUrban,T3,1,T31,-1,ecdo,04/24/2023,
Topeka,Urban,TopekaUrban,T13,1,T131,NA,NA,04/24/2023,
Topeka,Urban,TopekaUrban,T7,1,T71,NA,NA,04/24/2023,
Topeka,Urban,TopekaUrban,T22,1,T221,34,modo,04/24/2023,
Topeka,Urban,TopekaUrban,T22,1,T221,44,modo,04/24/2023,
Topeka,Urban,TopekaUrban,T6,1,T61,-1,modo,04/24/2023,
Topeka,Urban,TopekaUrban,T21,1,T211,NA,NA,04/24/2023,
Topeka,Urban,TopekaUrban,T10,1,T101,NA,NA,04/24/2023,
Topeka,Urban,TopekaUrban,T23,1,T231,NA,NA,04/24/2023,
Topeka,Urban,TopekaUrban,T17,1,T171,70,modo,04/26/2023,
Topeka,Urban,TopekaUrban,T15,1,T151,-1,modo,04/26/2023,
Topeka,Urban,TopekaUrban,T15,1,T151,-1,modo,04/26/2023,
Topeka,Urban,TopekaUrban,T8,1,T81,60,modo,04/26/2023,
Topeka,Urban,TopekaUrban,T8,1,T81,50,modo,04/26/2023,
Topeka,Urban,TopekaUrban,T9,1,T91,NA,NA,04/26/2023,
Topeka,Urban,TopekaUrban,T24,1,T241,122,modo,04/26/2023,
Topeka,Urban,TopekaUrban,T24,1,T241,-1,modo,04/26/2023,
Topeka,Urban,TopekaUrban,T20,1,T201,35,modo,04/26/2023,
Topeka,Urban,TopekaUrban,T4,1,T41,46,modo,04/26/2023,
Topeka,Urban,TopekaUrban,T4,1,T41,56,ecdo,04/26/2023,
Topeka,Urban,TopekaUrban,T16,1,T161,NA,NA,04/26/2023,
Topeka,Urban,TopekaUrban,T12,1,T121,NA,NA,04/26/2023,
Topeka,Urban,TopekaUrban,T5,1,T51,NA,NA,04/26/2023,
Topeka,Urban,TopekaUrban,T14,1,T141,108,modo,04/26/2023,
Topeka,Urban,TopekaUrban,T14,1,T141,-1,modo,04/26/2023,
Topeka,Urban,TopekaUrban,T14,1,T141,-1,modo,04/26/2023,
