,year,Effort,sample.bout,date,obsname,Area,Region.Label,Point_Num,Sample.Label,Minute,Species,Aspect,distance,How,Flock,WindAvg_mph,WindMax_mph,RH_Point,Temp_Point,Group,GroupArea
1,2024,1,1,2024-06-10,1,192,BLA049-C,101,BLA049-C-101,1,GRSP,1,45,C,1,2.5,3.3,67.7,59.3,BLA049,192
2,2024,1,1,2024-06-10,1,192,BLA049-C,101,BLA049-C-101,1,GRSP,2,61,C,1,2.5,3.3,67.7,59.3,BLA049,192
3,2024,1,1,2024-06-10,1,192,BLA049-C,101,BLA049-C-101,1,WEME,3,195,C,1,2.5,3.3,67.7,59.3,BLA049,192
4,2024,1,1,2024-06-10,1,192,BLA049-C,101,BLA049-C-101,5,NOFL,0,296,V,1,2.5,3.3,67.7,59.3,BLA049,192
5,2024,1,1,2024-06-10,1,192,BLA049-C,101,BLA049-C-101,1,WEME,5,100,C,1,2.5,3.3,67.7,59.3,BLA049,192
6,2024,1,1,2024-06-10,1,192,BLA049-C,101,BLA049-C-101,2,WEME,5,77,C,2,2.5,3.3,67.7,59.3,BLA049,192
7,2024,1,1,2024-06-10,1,192,BLA049-C,101,BLA049-C-101,NA,NA,NA,NA,NA,NA,2.5,3.3,67.7,59.3,BLA049,192
8,2024,1,1,2024-06-10,1,192,BLA049-C,101,BLA049-C-101,1,WEME,3,125,C,1,2.5,3.3,67.7,59.3,BLA049,192
9,2024,1,1,2024-06-10,1,192,BLA049-C,101,BLA049-C-101,1,WEME,1,101,V,1,2.5,3.3,67.7,59.3,BLA049,192
10,2024,1,1,2024-06-10,1,192,BLA049-C,101,BLA049-C-101,1,WEME,0,166,C,1,2.5,3.3,67.7,59.3,BLA049,192
11,2024,1,1,2024-06-10,1,192,BLA049-C,103,BLA049-C-103,1,GRSP,6,70,C,1,1.5,2.3,65.6,60.5,BLA049,192
12,2024,1,1,2024-06-10,1,192,BLA049-C,103,BLA049-C-103,NA,NA,NA,NA,NA,NA,1.5,2.3,65.6,60.5,BLA049,192
13,2024,1,1,2024-06-10,1,192,BLA049-C,103,BLA049-C-103,3,WITU,6,200,C,1,1.5,2.3,65.6,60.5,BLA049,192
14,2024,1,1,2024-06-10,1,192,BLA049-C,103,BLA049-C-103,3,BHCO,1,121,V,1,1.5,2.3,65.6,60.5,BLA049,192
15,2024,1,1,2024-06-10,1,192,BLA049-C,103,BLA049-C-103,5,MODO,5,93,C,1,1.5,2.3,65.6,60.5,BLA049,192
16,2024,1,1,2024-06-10,1,192,BLA049-C,103,BLA049-C-103,1,GRSP,1,21,C,1,1.5,2.3,65.6,60.5,BLA049,192
